,2019/05,2019/06,2019/07,2019/08,2019/09,2019/10,2019/11,2019/12,2020/01,2020/02,2020/03,2020/04,2020/05
183,"1,762","1,735","1,706","1,724","1,809","1,800","1,690","1,517","1,592","1,694","1,038",337,255
200,"11,397","11,453","11,071","11,282","11,713","11,562","10,676","10,152","10,411","10,790","7,435","3,790","5,077"
201,"1,015","1,043",915,952,"1,005","1,016",960,905,915,938,626,243,276
202,241,230,213,237,253,240,212,191,204,198,137,98,124
204,"20,844","20,984","19,953","20,281","21,737","21,532","19,745","18,204","18,629","20,245","13,851","7,796","9,907"
205,"3,559","3,362","3,296","3,458","3,947","3,846","3,376","2,974","3,012","3,399","2,127","1,313","1,139"
206,"11,274","10,954","10,602","10,807","11,446","11,263","10,361","9,740","10,017","10,484","6,783","3,056","3,767"
207,"16,756","16,793","16,126","16,443","17,088","16,837","15,422","15,069","15,563","16,611","12,004","6,535","7,641"
209,852,770,766,811,912,911,812,736,772,839,540,245,290
210,"10,695","10,494","10,011","9,900","10,771","10,785","10,191","9,329","9,893","10,468","6,986","3,711","4,254"
211,659,572,442,557,675,653,581,535,585,670,381,120,120
212,"11,354","10,900","10,773","11,129","11,794","11,603","10,738","9,915","10,440","10,826","6,757","3,212","3,695"
217,"6,393","6,194","6,466","6,662","7,072","6,955","6,497","6,080","6,297","6,533","4,025","1,610","1,713"
218,898,896,908,931,985,966,949,855,902,928,639,276,216
222,"1,319","1,278","1,288","1,313","1,394","1,412","1,302","1,108","1,229","1,248",796,351,400
224,"7,184","7,104","7,134","7,308","7,553","7,691","7,108","6,628","6,907","7,289","4,789","2,479","2,772"
230,"4,368","3,779","3,625","3,832","4,532","4,515","4,100","3,541","3,652","4,137","2,577","1,031","1,160"
232,"4,798","4,925","4,579","4,615","4,877","4,800","4,549","4,172","4,500","4,631","3,317","2,167","2,244"
233,"11,437","10,981","10,779","11,234","11,813","11,829","10,974","10,234","10,630","11,418","7,867","4,503","5,378"
234,"5,559","5,260","4,952","5,186","5,744","5,845","5,219","4,634","4,797","5,258","3,625","2,040","2,343"
236,"1,678","1,455","1,380","1,575","1,807","1,785","1,632","1,436","1,470","1,657","1,026",369,368
237,"2,058","1,964","1,972","2,078","2,234","2,134","1,985","1,751","1,836","1,973","1,239",618,740
239,914,739,771,857,"1,106","1,059",984,815,861,"1,059",643,234,300
243,"1,762","1,482","1,400","1,509","1,862","1,816","1,688","1,432","1,521","1,733",995,341,410
245,"2,861","2,297","2,073","2,419","2,753","2,770","2,650","2,367","2,532","2,755","1,573",475,445
246,"2,499","2,364","2,372","2,473","2,575","2,590","2,306","2,112","2,168","2,333","1,593","1,012","1,110"
251,"8,347","8,097","7,992","8,082","8,743","8,566","7,897","7,444","7,671","8,067","5,463","2,894","3,705"
252,"2,243","2,047","1,767","1,952","2,383","2,396","2,122","1,916","2,046","2,264","1,399",573,541
254,776,776,714,780,823,837,747,686,723,752,571,357,451
256,"1,445","1,289","1,329","1,461","1,751","1,784","1,544","1,295","1,360","1,581","1,027",481,412
258,"2,549","2,417","2,387","2,627","3,045","3,067","2,677","2,321","2,331","2,612","1,613",682,708
260,"9,916","9,709","9,151","9,252","10,212","10,183","9,344","8,489","8,804","9,324","5,828","2,683","3,312"
265,"1,422","1,317","1,211","1,346","1,519","1,523","1,384","1,233","1,267","1,380",892,347,403
266,"4,969","4,701","4,573","4,726","5,120","5,166","4,776","4,443","4,652","4,797","3,168","1,588","1,516"
267,"2,844","2,602","2,524","2,628","3,237","3,213","2,924","2,507","2,615","2,873","1,711",640,576
268,"1,703","1,884","1,786","1,709","1,786","1,806","1,744","1,657","1,593","1,650",967,363,407
344,"1,428","1,380","1,381","1,397","1,476","1,453","1,350","1,304","1,356","1,396",921,441,437
460,"4,893","5,050","5,016","5,149","5,315","5,332","4,846","4,406","4,575","4,764","3,257","1,704","1,868"
487,"3,419","3,152","3,120","3,403","3,875","3,747","3,434","3,080","3,226","3,436","1,963",546,625
501,"1,503","1,486","1,450","1,521","1,625","1,640","1,529","1,335","1,451","1,465","1,096",418,313
534,"1,546","1,580","1,697","1,758","1,752","1,618","1,478","1,380","1,473","1,502","1,015",580,566
550,"1,427","1,371","1,357","1,423","1,517","1,491","1,347","1,151","1,191","1,273",797,383,368
577,813,688,665,828,"1,175","1,175",969,687,745,973,638,246,231
601,991,989,971,957,952,981,988,995,922,937,848,396,506
602,"2,014","1,619","1,193","1,942","2,255","2,017","1,961","1,767","1,872","2,135","1,071",293,286
